pos,neu,neg
0.304,0.696,0
0.066,0.688,0.247
0.094,0.906,0
0.556,0.444,0
0.047,0.873,0.08
0.264,0.736,0
0.17,0.642,0.188
0.134,0.728,0.138
0,0.874,0.126
0,0.749,0.251
0,1,0
0,0.816,0.184
0,0.848,0.152
0.109,0.891,0
0,0.93,0.07
0.059,0.816,0.126
0,0.643,0.357
0.057,0.74,0.204
0.293,0.707,0
0.083,0.716,0.201
0.108,0.799,0.093
0,0.634,0.366
0.242,0.758,0
0.14,0.721,0.138
0,0.901,0.099
0.223,0.777,0
0.153,0.808,0.038
0.242,0.651,0.107
0.207,0.753,0.04
0,1,0
0,1,0
0,1,0
0.065,0.935,0
0.161,0.737,0.102
0.226,0.739,0.036
0.461,0.539,0
0.172,0.732,0.096
0.444,0.495,0.061
0.174,0.685,0.141
0.234,0.67,0.095
0.057,0.866,0.077
0.165,0.746,0.089
0,1,0
0,0.909,0.091
0.078,0.842,0.08
0.159,0.841,0
0,0.725,0.275
0.246,0.591,0.163
0.086,0.846,0.068
0.2,0.586,0.215
0.155,0.763,0.082
0.327,0.627,0.046
0.371,0.575,0.054
0,0.771,0.229
0.282,0.485,0.233
0.085,0.793,0.123
0.184,0.816,0
0.304,0.696,0
0.159,0.744,0.097
0.105,0.808,0.087
0.101,0.899,0
0.442,0.558,0
0.279,0.6,0.121
0.176,0.655,0.169
0.081,0.654,0.265
0.403,0.597,0
0.048,0.952,0
0.276,0.635,0.089
0.183,0.744,0.073
0.133,0.867,0
0.119,0.881,0
0.089,0.879,0.032
0.311,0.537,0.152
0,0.911,0.089
0.216,0.784,0
0,0.934,0.066
0.427,0.573,0
0.078,0.922,0
0.147,0.749,0.104
0.182,0.818,0
0.064,0.872,0.064
0.064,0.762,0.174
0.112,0.742,0.146
0.203,0.693,0.104
0.061,0.939,0
0.064,0.837,0.098
0.272,0.651,0.077
0,1,0
0.057,0.943,0
0.154,0.571,0.275
0.069,0.795,0.136
0.325,0.675,0
0.25,0.637,0.113
0.144,0.775,0.081
0.161,0.771,0.068
0.256,0.744,0
0,0.749,0.251
0.155,0.72,0.125
0.068,0.775,0.157
0.052,0.791,0.157
0,1,0
0.162,0.838,0
0,0.906,0.094
0.202,0.705,0.093
0.376,0.624,0
0.409,0.544,0.047
0.05,0.856,0.094
0.252,0.603,0.145
0.188,0.751,0.06
0.267,0.629,0.104
0.229,0.771,0
0.449,0.551,0
0.05,0.856,0.094
0.263,0.681,0.056
0.213,0.698,0.089
0.067,0.788,0.146
0,1,0
0.21,0.718,0.072
0.285,0.422,0.293
0.394,0.606,0
0,0.947,0.053
0.235,0.726,0.039
0.123,0.693,0.184
0.171,0.829,0
0.145,0.727,0.128
0.356,0.59,0.054
0.388,0.612,0
0.24,0.577,0.183
0.138,0.651,0.211
0.088,0.775,0.137
0.324,0.583,0.093
0,0.914,0.086
0.294,0.639,0.068
0.162,0.719,0.119
0.204,0.796,0
0.345,0.606,0.049
0,0.823,0.177
0.28,0.672,0.047
0.266,0.734,0
0.178,0.822,0
0.086,0.914,0
0.185,0.815,0
0.226,0.774,0
0,0.73,0.27
0,0.625,0.375
0.307,0.693,0
0.076,0.924,0
0.074,0.603,0.323
0,1,0
0.139,0.792,0.068
0,0.657,0.343
0.074,0.641,0.285
0.035,0.778,0.187
0,1,0
0.044,0.697,0.259
0.127,0.619,0.254
0.225,0.667,0.108
0,0.885,0.115
0.045,0.881,0.074
0.291,0.709,0
0.212,0.788,0
0,1,0
0.166,0.517,0.317
0,0.865,0.135
0.226,0.732,0.042
0.123,0.612,0.265
0.104,0.896,0
0.082,0.834,0.084
0.129,0.731,0.139
0.106,0.77,0.124
0.075,0.729,0.196
0.284,0.515,0.201
0.204,0.673,0.123
0.489,0.511,0
0,0.703,0.297
0.077,0.738,0.185
0.219,0.606,0.175
0.164,0.836,0
0.205,0.795,0
0.289,0.625,0.086
0.248,0.61,0.142
0,0.892,0.108
0.083,0.917,0
0.075,0.844,0.081
0.199,0.801,0
0.072,0.836,0.092
0,1,0
0.098,0.763,0.139
0.19,0.529,0.281
0.208,0.677,0.115
0.092,0.796,0.112
0,0.62,0.38
0.1,0.705,0.195
0.033,0.967,0
0.098,0.902,0
0.077,0.729,0.194
0.181,0.783,0.036
0.233,0.527,0.24
0.047,0.52,0.433
0.158,0.842,0
0.288,0.564,0.148
0.11,0.559,0.331
0,0.888,0.112
0,0.924,0.076
0,1,0
0.276,0.724,0
0.183,0.725,0.093
0,0.81,0.19
0.144,0.597,0.258
0,0.85,0.15
0.075,0.878,0.046
0.189,0.559,0.252
0.26,0.74,0
0.113,0.818,0.069
0.162,0.597,0.241
0.259,0.578,0.163
0.148,0.852,0
0.178,0.66,0.162
0.07,0.811,0.119
0.085,0.724,0.191
0.084,0.916,0
0.109,0.748,0.143
0.121,0.702,0.177
0.355,0.588,0.057
0,0.888,0.112
0.086,0.772,0.143
0.094,0.862,0.044
0.279,0.637,0.084
0.119,0.741,0.14
0.073,0.748,0.18
0,1,0
0.318,0.682,0
0.135,0.865,0
0,1,0
0,1,0
0,1,0
0.164,0.836,0
0,1,0
0.2,0.707,0.094
0.072,0.928,0
0,0.912,0.088
0.085,0.752,0.163
0.049,0.882,0.069
0,1,0
0,0.796,0.204
0.111,0.721,0.168
0,0.767,0.233
0.109,0.779,0.112
0.123,0.877,0
0.13,0.87,0
0,1,0
0.117,0.828,0.055
0.184,0.579,0.237
0.183,0.745,0.072
0.259,0.661,0.081
0.092,0.83,0.078
0.407,0.593,0
0.107,0.782,0.111
0,1,0
0.085,0.867,0.048
0,1,0
0.074,0.926,0
0,0.911,0.089
0,1,0
0,1,0
0.061,0.939,0
0.074,0.803,0.123
0,0.806,0.194
0,0.851,0.149
0.276,0.724,0
0,1,0
0.321,0.679,0
0.139,0.795,0.067
0.174,0.826,0
0.203,0.797,0
0.208,0.654,0.138
0.074,0.828,0.098
0.165,0.697,0.139
0.172,0.828,0
0.254,0.746,0
0.082,0.875,0.043
0.362,0.57,0.068
0.267,0.592,0.141
0.205,0.795,0
0.111,0.674,0.215
0.127,0.786,0.087
0.048,0.821,0.131
0.159,0.841,0
0.045,0.872,0.082
0.273,0.606,0.121
0.138,0.8,0.062
0,0.924,0.076
0.249,0.695,0.057
0.059,0.799,0.142
0.209,0.601,0.189
0.309,0.662,0.029
0.189,0.739,0.072
0.148,0.852,0
0,1,0
0.387,0.575,0.038
0.349,0.548,0.102
0.213,0.692,0.095
0.278,0.63,0.091
0.19,0.707,0.103
0.321,0.611,0.068
0.289,0.711,0
0,0.951,0.049
0.085,0.594,0.321
0.063,0.619,0.318
0.142,0.671,0.187
0.046,0.54,0.414
0.23,0.651,0.119
0.156,0.724,0.121
0.364,0.636,0
0.087,0.913,0
0,0.911,0.089
0.099,0.756,0.145
0.225,0.775,0
0.162,0.838,0
0.232,0.768,0
0.165,0.699,0.137
0,1,0
0.071,0.694,0.235
0.132,0.765,0.104
0,0.882,0.118
0.199,0.801,0
0.127,0.873,0
0.162,0.784,0.053
0.113,0.887,0
0.141,0.859,0
0.19,0.737,0.072
0.049,0.868,0.083
0.218,0.71,0.072
0.067,0.933,0
0.057,0.943,0
0.155,0.845,0
0.149,0.802,0.049
0,1,0
0,1,0
0.181,0.672,0.147
0.208,0.792,0
0,0.9,0.1
0.118,0.785,0.097
0.07,0.821,0.109
0.067,0.861,0.072
0,0.786,0.214
0.252,0.717,0.031
0.127,0.764,0.109
0,1,0
0.112,0.888,0
0,0.949,0.051
0,1,0
0.072,0.628,0.3
0,1,0
0,0.94,0.06
0.109,0.595,0.296
0.091,0.86,0.049
0,1,0
0.172,0.828,0
0.079,0.879,0.043
0.233,0.608,0.159
0,1,0
0,0.777,0.223
0,0.91,0.09
0,0.801,0.199
0.283,0.717,0
0.143,0.629,0.228
0.064,0.803,0.133
0.202,0.746,0.052
0.305,0.641,0.054
0.142,0.858,0
0.218,0.711,0.072
0.228,0.652,0.121
0.222,0.732,0.046
0.072,0.82,0.109
0.236,0.764,0
0,1,0
0.074,0.786,0.14
0.315,0.685,0
0.172,0.682,0.146
0.192,0.72,0.088
0.113,0.833,0.054
0,0.942,0.058
0,0.797,0.203
0.14,0.86,0
0.095,0.822,0.083
0.056,0.843,0.101
0.046,0.701,0.253
0,1,0
0.11,0.799,0.091
0.194,0.76,0.046
0,0.746,0.254
0.12,0.832,0.048
0.105,0.813,0.082
0,0.629,0.371
0.128,0.872,0
0.174,0.722,0.104
0.09,0.826,0.083
0.337,0.389,0.275
0.281,0.719,0
0.099,0.901,0
0.156,0.692,0.152
0.09,0.842,0.068
0.118,0.832,0.051
0,0.89,0.11
0.188,0.812,0
0.099,0.901,0
0.288,0.712,0
0.091,0.728,0.181
0.274,0.566,0.16
0.092,0.644,0.264
0.333,0.667,0
0.194,0.739,0.067
0,0.738,0.262
0.038,0.67,0.293
0.261,0.688,0.051
0.13,0.717,0.153
0.421,0.354,0.225
0.164,0.67,0.166
0.297,0.703,0
0.234,0.766,0
0.161,0.839,0
0.159,0.841,0
0.317,0.683,0
0.307,0.693,0
0.235,0.685,0.08
0.283,0.523,0.194
0.154,0.846,0
0.443,0.557,0
0.137,0.764,0.1
0.144,0.856,0
0.047,0.849,0.104
0.188,0.758,0.054
0.069,0.872,0.059
0.331,0.669,0
0.103,0.83,0.068
0.096,0.904,0
0,1,0
0.089,0.911,0
0,1,0
0.062,0.938,0
0.245,0.755,0
0,0.89,0.11
0.254,0.746,0
0.182,0.818,0
0.188,0.812,0
0.057,0.779,0.164
0.076,0.924,0
0.132,0.868,0
0,0.518,0.482
0.523,0.477,0
0.198,0.802,0
0.277,0.618,0.105
0.291,0.592,0.117
0.132,0.716,0.152
0.23,0.714,0.057
0.046,0.954,0
0.343,0.609,0.049
0.277,0.723,0
0.289,0.711,0
0.318,0.682,0
0.148,0.758,0.094
0.153,0.847,0
0,1,0
0.139,0.767,0.094
0,1,0
0,1,0
0.197,0.7,0.103
0.083,0.917,0
0,0.778,0.222
0.126,0.704,0.171
0.077,0.852,0.071
0.208,0.792,0
0.226,0.774,0
0.233,0.767,0
0.182,0.771,0.047
0,1,0
0.139,0.813,0.049
0.083,0.795,0.122
0.113,0.812,0.074
0.15,0.733,0.117
0.035,0.965,0
0.243,0.646,0.111
0,0.962,0.038
0,0.849,0.151
0.127,0.873,0
0,1,0
0.162,0.667,0.171
0,0.884,0.116
0,0.894,0.106
0.102,0.898,0
0.082,0.87,0.048
0,1,0
0,1,0
0.079,0.87,0.051
0.345,0.539,0.116
0,1,0
0,0.858,0.142
0.067,0.55,0.383
0.114,0.623,0.263
0.242,0.677,0.082
0.075,0.849,0.075
0,0.814,0.186
0.135,0.865,0
0.226,0.635,0.139
0.189,0.811,0
0.437,0.563,0
0,0.894,0.106
0,1,0
0.078,0.922,0
0.24,0.76,0
0.143,0.857,0
0,1,0
0.047,0.745,0.208
0,0.905,0.095
0.132,0.806,0.062
0.104,0.859,0.037
0.214,0.583,0.203
0.059,0.846,0.095
0,1,0
0.118,0.882,0
0.142,0.858,0
0.086,0.914,0
0.106,0.894,0
0.154,0.784,0.063
0.222,0.778,0
0.164,0.836,0
0.202,0.767,0.031
0.154,0.846,0
0.08,0.886,0.034
0.063,0.889,0.048
0.093,0.859,0.048
0.115,0.885,0
0.128,0.872,0
0.263,0.737,0
0,0.404,0.596
0.094,0.736,0.171
0.131,0.719,0.15
0.179,0.821,0
0.2,0.719,0.081
0.078,0.783,0.139
0,0.782,0.218
0.269,0.731,0
0.11,0.694,0.196
0.072,0.711,0.217
0.254,0.746,0
0.187,0.611,0.202
0.287,0.677,0.036
0.308,0.63,0.062
0.161,0.839,0
0.105,0.76,0.136
0.147,0.721,0.132
0.228,0.772,0
0.138,0.797,0.065
0.383,0.617,0
0.199,0.801,0
0.099,0.763,0.138
0.3,0.619,0.082
0.15,0.85,0
0.068,0.932,0
0.216,0.658,0.127
0.074,0.843,0.082
0.072,0.838,0.09
0.145,0.686,0.169
0.195,0.805,0
0.181,0.682,0.138
0.247,0.724,0.028
0.223,0.73,0.048
0,0.922,0.078
0.101,0.899,0
0.109,0.675,0.216
0.214,0.748,0.039
0.107,0.856,0.037
0.127,0.689,0.184
0.078,0.569,0.353
0.18,0.527,0.293
0.286,0.643,0.071
0.259,0.741,0
0.294,0.671,0.035
0.306,0.694,0
0.205,0.795,0
0.113,0.718,0.168
0.074,0.807,0.119
0.12,0.726,0.155
0.21,0.72,0.069
0,0.823,0.177
0.145,0.596,0.259
0.306,0.569,0.124
0.247,0.753,0
0.068,0.876,0.057
0,0.804,0.196
0.16,0.84,0
0.133,0.867,0
0.234,0.594,0.172
0.224,0.624,0.153
0.238,0.654,0.108
0.138,0.666,0.196
0,0.922,0.078
0.286,0.714,0
0.135,0.759,0.106
0.264,0.736,0
0,0.677,0.323
0.168,0.832,0
0,0.829,0.171
0.138,0.761,0.101
0,1,0
0.23,0.676,0.094
0.071,0.777,0.152
0,0.772,0.228
0.119,0.795,0.086
0,1,0
0,0.745,0.255
0.146,0.854,0
0.132,0.685,0.183
0,1,0
0,0.492,0.508
0,1,0
0.122,0.75,0.128
0,1,0
0.065,0.861,0.074
0,0.412,0.588
0.357,0.643,0
0,0.853,0.147
0.168,0.832,0
0.293,0.707,0
0.146,0.854,0
0.245,0.701,0.054
0.039,0.675,0.286
0,0.571,0.429
0.076,0.765,0.16
0.117,0.76,0.124
0.128,0.625,0.247
0,1,0
0,0.915,0.085
0,1,0
0,0.894,0.106
0,1,0
0,0.767,0.233
0.065,0.935,0
0.125,0.818,0.056
0,1,0
0.037,0.817,0.145
0,0.861,0.139
0.174,0.74,0.086
0.084,0.916,0
0.076,0.766,0.158
0.113,0.887,0
0.11,0.89,0
0.05,0.886,0.063
0.234,0.672,0.094
0,1,0
0.102,0.898,0
0,0.919,0.081
0.218,0.782,0
0.08,0.776,0.144
0,0.927,0.073
0,0.872,0.128
0,0.935,0.065
0,1,0
0.093,0.83,0.077
0.091,0.793,0.116
0.272,0.728,0
0.066,0.892,0.042
0,0.796,0.204
0,1,0
0.07,0.788,0.142
0,0.698,0.302
0.037,0.901,0.061
0,0.942,0.058
0,0.908,0.092
0.205,0.633,0.161
0.149,0.851,0
0,1,0
0.266,0.734,0
0,0.716,0.284
0.123,0.821,0.055
0.153,0.847,0
0.337,0.464,0.198
0.122,0.738,0.139
0.063,0.488,0.45
0.126,0.707,0.167
0.405,0.396,0.2
0,0.88,0.12
0.138,0.862,0
0.127,0.873,0
0.123,0.877,0
0,0.749,0.251
0.159,0.841,0
0.223,0.585,0.191
0.271,0.665,0.064
0.131,0.733,0.135
0.315,0.685,0
0,1,0
0.305,0.617,0.077
0.252,0.697,0.051
0.124,0.876,0
0.071,0.734,0.195
0,0.847,0.153
0.062,0.726,0.211
0.048,0.781,0.171
0.113,0.698,0.188
0.164,0.694,0.142
0.092,0.683,0.226
0,0.833,0.167
0.137,0.708,0.156
0.09,0.829,0.081
0.185,0.673,0.142
0,0.665,0.335
0.226,0.709,0.065
0.084,0.916,0
0.133,0.706,0.161
0,1,0
0,0.919,0.081
0.132,0.776,0.092
0.156,0.746,0.099
0,0.916,0.084
0.225,0.775,0
0.097,0.796,0.107
0.147,0.643,0.21
0,1,0
0,0.908,0.092
0.301,0.64,0.058
0,1,0
0.064,0.8,0.137
0,1,0
0,0.919,0.081
0.103,0.75,0.147
0.204,0.721,0.075
0.068,0.756,0.177
0.108,0.829,0.064
0.065,0.775,0.16
0.174,0.786,0.04
0,0.918,0.082
0,1,0
0,0.923,0.077
0,0.732,0.268
0,1,0
0.153,0.623,0.224
0,0.836,0.164
0,1,0
0,1,0
0,1,0
0.168,0.832,0
0,1,0
0.18,0.668,0.153
0.345,0.382,0.273
0.144,0.673,0.183
0.323,0.462,0.215
0.536,0.464,0
0,1,0
0.148,0.852,0
0.159,0.841,0
0.171,0.829,0
0,0.81,0.19
0.183,0.639,0.178
0,1,0
0.206,0.794,0
0.213,0.607,0.18
0,1,0
0,0.824,0.176
0.306,0.694,0
0,0.74,0.26
0,1,0
0.074,0.926,0
0.072,0.671,0.257
0.117,0.715,0.168
0,1,0
0,0.745,0.255
0.267,0.691,0.042
0.398,0.602,0
0.079,0.784,0.137
0,1,0
0,0.807,0.193
0,1,0
0.177,0.823,0
0.247,0.652,0.101
0.048,0.704,0.248
0,0.544,0.456
0.404,0.596,0
0.377,0.623,0
0.224,0.735,0.041
0,1,0
0.261,0.739,0
0.227,0.516,0.256
0.157,0.843,0
0.044,0.908,0.048
0.488,0.512,0
0.335,0.665,0
0.239,0.709,0.052
0,0.593,0.407
0,0.856,0.144
0.214,0.786,0
0.265,0.688,0.047
0.343,0.657,0
0.27,0.643,0.087
0,1,0
0.195,0.595,0.21
0,1,0
0.243,0.575,0.182
0.384,0.616,0
0.15,0.85,0
0.149,0.851,0
0.321,0.536,0.143
0.127,0.873,0
0.07,0.93,0
0.159,0.782,0.059
0,1,0
0,0.94,0.06
0.097,0.903,0
0,0.556,0.444
0.061,0.586,0.353
0,0.82,0.18
0.05,0.849,0.101
0,0.584,0.416
0.179,0.391,0.43
0.334,0.542,0.123
0,0.718,0.282
0.061,0.695,0.244
0,0.601,0.399
0.244,0.652,0.104
0.081,0.919,0
0.08,0.92,0
0.044,0.786,0.169
0.058,0.77,0.172
0.111,0.762,0.127
0.068,0.798,0.134
0,1,0
0.12,0.819,0.061
0.422,0.578,0
0,1,0
0.113,0.761,0.127
0.083,0.806,0.111
0.14,0.794,0.066
0.151,0.797,0.052
0,0.784,0.216
0.21,0.457,0.334
0,1,0
0.122,0.542,0.336
0.059,0.742,0.198
0,0.884,0.116
0.092,0.766,0.143
0.034,0.864,0.101
0.229,0.771,0
0,0.832,0.168
0,1,0
0.09,0.754,0.156
0.22,0.734,0.046
0.107,0.768,0.126
0.083,0.917,0
0,1,0
0.104,0.896,0
0,0.88,0.12
0,1,0
0,0.741,0.259
0.302,0.591,0.107
0,1,0
0.339,0.661,0
0.236,0.593,0.171
0.134,0.761,0.105
0.142,0.793,0.065
0.172,0.6,0.228
0.062,0.938,0
0.047,0.953,0
0,0.725,0.275
0.375,0.569,0.056
0,0.854,0.146
0.156,0.742,0.101
0.075,0.787,0.138
0.088,0.592,0.32
0.168,0.77,0.061
0,1,0
0,1,0
0.231,0.653,0.115
0.139,0.737,0.123
0.158,0.646,0.196
0.184,0.816,0
0.123,0.818,0.06
0.139,0.547,0.314
0.173,0.659,0.168
0,1,0
0.27,0.73,0
0,0.775,0.225
0.06,0.895,0.044
0.144,0.816,0.04
0.37,0.63,0
0.059,0.849,0.092
0.218,0.583,0.199
0.245,0.755,0
0.227,0.773,0
0.062,0.938,0
0.113,0.887,0
0.227,0.773,0
0.224,0.615,0.161
0.226,0.774,0
0.239,0.761,0
0.151,0.849,0
0.276,0.644,0.08
0,1,0
0,0.867,0.133
0.1,0.9,0
0.195,0.805,0
0.098,0.902,0
0.351,0.649,0
0,1,0
0.141,0.761,0.099
0,1,0
0,0.942,0.058
0.096,0.856,0.047
0.075,0.925,0
0.112,0.839,0.049
0.098,0.902,0
0.178,0.822,0
0.458,0.542,0
0,1,0
0,0.833,0.167
0.375,0.625,0
0.172,0.611,0.217
0.11,0.706,0.184
0.127,0.873,0
0,0.787,0.213
0.38,0.62,0
0.149,0.682,0.169
0.283,0.599,0.118
0.071,0.737,0.192
0.217,0.783,0
0.132,0.746,0.122
0.195,0.691,0.114
0.138,0.771,0.092
0.082,0.841,0.077
0,0.924,0.076
0.058,0.718,0.224
0,0.9,0.1
0.137,0.663,0.199
0,0.87,0.13
0.078,0.748,0.174
0.072,0.799,0.129
0.152,0.848,0
0.418,0.582,0
0.087,0.729,0.185
0,0.815,0.185
0.056,0.944,0
0.154,0.741,0.105
0.166,0.768,0.066
0,0.918,0.082
0,1,0
0.053,0.947,0
0,1,0
0.08,0.817,0.103
0.139,0.861,0
0.558,0.442,0
0.082,0.697,0.221
0.048,0.865,0.087
0,0.917,0.083
0,1,0
0.063,0.749,0.188
0.262,0.738,0
0.168,0.832,0
0.139,0.699,0.162
0.368,0.632,0
0.137,0.863,0
0.205,0.795,0
0.176,0.753,0.07
0,0.887,0.113
0.12,0.785,0.095
0.302,0.698,0
0,1,0
0.252,0.748,0
0,1,0
0.378,0.622,0
0.158,0.784,0.057
0,1,0
0.119,0.881,0
0.103,0.897,0
0.292,0.708,0
0.291,0.709,0
0.187,0.813,0
0,1,0
0.087,0.849,0.063
0.136,0.725,0.139
0,0.601,0.399
0.104,0.687,0.209
0,1,0
0,0.786,0.214
0.17,0.766,0.064
0.193,0.807,0
0.079,0.861,0.06
0,1,0
0.093,0.733,0.174
0.165,0.705,0.13
0.066,0.866,0.068
0.23,0.656,0.115
0.129,0.871,0
0.084,0.916,0
0.081,0.919,0
0.129,0.706,0.165
0,0.817,0.183
0.059,0.824,0.117
0,0.906,0.094
0,0.929,0.071
0.159,0.744,0.098
0.148,0.852,0
0.134,0.82,0.047
0.082,0.684,0.234
0.093,0.907,0
0.092,0.908,0
0.214,0.673,0.113
0.073,0.701,0.226
0.22,0.78,0
0.241,0.514,0.244
0.316,0.684,0
0,1,0
0,1,0
0.152,0.644,0.204
0.104,0.77,0.126
0.095,0.66,0.244
0,0.798,0.202
0,0.734,0.266
0.311,0.559,0.13
0.071,0.83,0.099
0,0.771,0.229
0.275,0.725,0
0,1,0
0.086,0.83,0.084
0.273,0.668,0.058
0.135,0.865,0
0.22,0.78,0
0.223,0.717,0.06
0,1,0
0,1,0
0.058,0.942,0
0.157,0.81,0.033
0.101,0.853,0.046
0.25,0.75,0
0.082,0.918,0
0.074,0.926,0
0,0.93,0.07
0.167,0.678,0.156
0,0.703,0.297
0,1,0
0.135,0.708,0.157
0,0.924,0.076
0,0.818,0.182
0,0.705,0.295
0.257,0.743,0
0.135,0.865,0
0.093,0.828,0.079
0,0.685,0.315
0.238,0.668,0.094
0.1,0.744,0.156
0.276,0.724,0
0,0.881,0.119
0.427,0.463,0.11
0.08,0.674,0.246
0,0.746,0.254
0,0.86,0.14
0.083,0.845,0.072
0,0.903,0.097
0.238,0.624,0.138
0.242,0.758,0
0,1,0
0.16,0.784,0.055
0.221,0.699,0.08
0.081,0.629,0.289
0.286,0.66,0.054
0.185,0.815,0
0.13,0.642,0.228
0,1,0
0.209,0.791,0
0,1,0
0,0.876,0.124
0.139,0.803,0.058
0.391,0.491,0.118
0.156,0.756,0.088
0.332,0.59,0.079
0,0.795,0.205
0,0.776,0.224
0,0.798,0.202
0.358,0.642,0
0.107,0.893,0
0.258,0.515,0.227
0.211,0.735,0.054
0.178,0.822,0
0.241,0.683,0.076
0,1,0
